nodes,run,time
2,1,1.1199997970834374e-05
2,2,3.7999998312443495e-06
2,3,3.4999975468963385e-06
2,4,2.1000014385208488e-06
2,5,2.7999994927085936e-06
2,6,2.7999994927085936e-06
2,7,2.6999987312592566e-06
2,8,7.000002369750291e-06
2,9,1.7999991541728377e-06
2,10,1.4999968698248267e-06
5,1,1.479999627918005e-05
5,2,1.4899997040629387e-05
5,3,1.4700002793688327e-05
5,4,4.199995601084083e-06
5,5,1.049999991664663e-05
5,6,2.160000440198928e-05
5,7,9.800001862458885e-06
5,8,2.2300002456177026e-05
5,9,1.7499995010439306e-05
5,10,1.8499995348975062e-05
10,1,0.00017080000543501228
10,2,7.329999789362773e-05
10,3,0.00014569999621016905
10,4,0.00015190000704023987
10,5,0.00018089999502990395
10,6,0.00011019999510608613
10,7,0.00019950000569224358
10,8,8.039999374886975e-05
10,9,0.00012020000576740131
10,10,0.00011050000466639176
20,1,0.0014348999975482002
20,2,0.0014946000010240823
20,3,0.0015650000059395097
20,4,0.0012018999987049028
20,5,0.0012979999955859967
20,6,0.002227699995273724
20,7,0.0018056999979307875
20,8,0.0011730999976862222
20,9,0.0010983000029227696
20,10,0.0010417000012239441
50,1,0.02420249999704538
50,2,0.019552600002498366
50,3,0.02181830000336049
50,4,0.020855399998254143
50,5,0.023113700000976678
50,6,0.025323599998955615
50,7,0.019119899996439926
50,8,0.021928100002696738
50,9,0.017711899999994785
50,10,0.023237400004290976
