nodes,run,time
7,1,1.5300000086426735e-05
7,2,5.30000397702679e-06
7,3,4.199995601084083e-06
7,4,4.199995601084083e-06
7,5,4.499997885432094e-06
7,6,4.0000013541430235e-06
7,7,4.3000036384910345e-06
7,8,3.9000005926936865e-06
7,9,4.199995601084083e-06
7,10,3.7999998312443495e-06
12,1,6.499998562503606e-06
12,2,5.49999822396785e-06
12,3,5.900001269765198e-06
12,4,5.800000508315861e-06
12,5,5.599998985417187e-06
12,6,5.000001692678779e-06
12,7,5.099995178170502e-06
12,8,4.800000169780105e-06
12,9,4.800000169780105e-06
12,10,4.999994416721165e-06
22,1,1.1199997970834374e-05
22,2,9.499999578110874e-06
22,3,9.2999980552122e-06
22,4,8.499999239575118e-06
22,5,8.39999847812578e-06
22,6,8.499999239575118e-06
22,7,8.900002285372466e-06
22,8,8.39999847812578e-06
22,9,8.499999239575118e-06
22,10,8.600000001024455e-06
32,1,1.3299999409355223e-05
32,2,1.2399999832268804e-05
32,3,0.00017130000196630135
32,4,1.3199998647905886e-05
32,5,1.2800002878066152e-05
32,6,1.2800002878066152e-05
32,7,1.3100005162414163e-05
32,8,1.3900003978051245e-05
32,9,1.3199998647905886e-05
32,10,1.2500000593718141e-05
42,1,1.7300000763498247e-05
42,2,1.6800004232209176e-05
42,3,1.6699996194802225e-05
42,4,1.6399993910454214e-05
42,5,1.6599995433352888e-05
42,6,1.6199999663513154e-05
42,7,1.670000347075984e-05
42,8,1.6099998902063817e-05
42,9,1.630000042496249e-05
42,10,1.6399993910454214e-05
52,1,2.1100000594742596e-05
52,2,2.040000254055485e-05
52,3,2.010000025620684e-05
52,4,2.0200001017656177e-05
52,5,2.040000254055485e-05
52,6,2.0199993741698563e-05
52,7,0.00016769999638199806
52,8,2.0899999071843922e-05
52,9,1.9500002963468432e-05
52,10,1.9699997210409492e-05
